sex,age,address,Medu,Fedu,studytime,failures,schoolsup,famsup,internet,absences,G1,G2
F,16,U,3,3,2,0,yes,yes,yes,4,11,11
M,15,U,4,3,2,0,no,yes,yes,0,11,11
M,15,U,4,0,4,0,no,no,yes,0,12,11
F,16,U,2,2,4,0,no,no,yes,1,13,13
M,17,U,2,1,1,3,yes,yes,yes,0,9,9
F,16,U,3,4,2,0,no,yes,yes,14,12,11
M,15,U,2,3,1,0,yes,yes,yes,0,11,11
M,15,U,2,3,3,0,yes,no,yes,2,10,9
F,15,U,3,2,2,0,no,yes,yes,4,12,11
M,15,U,2,2,2,0,no,no,yes,2,13,12
F,15,U,1,1,2,0,no,yes,yes,2,13,12
F,15,U,4,4,2,0,no,no,yes,4,12,11
F,16,U,2,2,2,0,no,yes,no,6,13,11
F,15,U,4,2,3,0,no,yes,yes,4,15,15
M,16,U,2,2,2,0,no,no,yes,6,12,10
M,16,U,4,4,2,0,no,yes,no,6,9,9
F,16,U,3,3,3,0,no,yes,yes,2,9,11
F,15,U,4,3,1,0,no,no,yes,6,14,13
F,16,U,3,1,2,0,yes,yes,no,0,12,13
F,16,U,4,2,2,0,no,yes,yes,2,13,14
M,15,U,2,2,4,0,no,yes,yes,2,11,12
F,15,R,1,1,4,0,yes,yes,yes,4,13,13
M,16,R,4,3,1,0,yes,yes,yes,6,9,11
F,16,U,2,1,2,0,no,yes,no,0,13,12
F,16,U,4,4,1,0,no,no,yes,4,12,13
F,16,U,4,3,3,0,yes,yes,yes,2,12,13
M,16,U,4,4,1,0,yes,yes,yes,12,9,9
M,16,U,4,4,3,0,no,yes,yes,0,16,16
M,15,U,4,4,1,0,no,yes,yes,2,12,13
F,15,U,3,2,2,0,yes,yes,yes,16,11,10
M,15,U,3,4,2,0,no,yes,yes,0,16,16
F,15,U,3,3,4,0,yes,no,no,10,10,10
F,15,U,2,2,4,0,yes,yes,yes,4,10,10
M,16,U,3,3,3,0,no,yes,yes,4,13,14
M,15,R,4,4,4,0,no,yes,yes,8,12,10
F,16,U,4,4,3,0,no,yes,yes,2,15,15
M,15,U,4,4,1,0,no,no,yes,4,13,14
F,16,R,3,3,3,0,yes,yes,yes,4,11,11
F,16,U,2,2,2,1,yes,no,yes,12,8,10
M,15,U,4,2,1,0,no,no,yes,10,18,17
M,15,R,2,1,2,0,no,no,yes,4,10,9
M,16,U,4,4,2,0,no,yes,yes,6,16,14
M,15,U,4,4,2,0,no,yes,no,4,16,15
M,16,U,3,3,1,0,no,no,yes,6,14,14
M,17,R,1,3,2,1,no,yes,yes,14,12,11
M,15,U,3,4,1,0,no,no,yes,2,14,13
F,15,U,1,2,2,0,no,no,yes,0,14,14
M,15,U,2,2,4,0,no,yes,yes,6,14,13
F,16,U,2,4,2,0,no,yes,yes,2,14,12
M,16,U,4,4,1,0,no,yes,yes,4,12,13
F,16,U,2,2,2,0,no,no,yes,0,12,11
M,15,U,3,4,1,0,yes,no,yes,2,9,9
F,15,U,3,4,2,0,yes,no,yes,0,10,11
F,19,U,0,1,2,2,no,yes,no,0,9,10
M,16,R,4,4,1,0,no,no,yes,8,14,14
M,16,U,2,3,3,0,no,yes,yes,4,13,12
F,15,R,3,4,3,0,no,yes,yes,0,10,11
F,18,U,2,1,2,3,no,yes,yes,10,10,9
F,17,U,2,1,1,0,no,yes,yes,8,11,10
F,15,U,1,1,1,0,no,yes,yes,6,11,12
F,17,U,2,2,1,0,no,yes,yes,2,13,12
F,16,U,3,4,1,0,no,no,yes,12,15,13
M,16,U,2,1,1,0,no,no,no,4,9,9
F,16,U,2,2,1,1,no,no,no,12,13,11
M,15,R,3,4,2,0,no,yes,no,2,12,11
F,15,U,4,4,3,0,no,yes,yes,4,13,14
M,17,R,3,4,2,0,no,no,no,2,10,9
F,16,R,1,1,2,0,no,yes,no,0,14,13
M,18,U,3,1,1,0,no,no,yes,2,11,11
F,18,U,3,2,3,0,no,yes,yes,10,12,11
F,16,R,1,1,1,0,no,yes,no,8,12,11
F,16,U,3,3,1,0,no,yes,yes,4,9,9
M,16,U,1,1,2,2,no,no,no,0,10,10
F,15,U,4,4,1,0,no,no,yes,6,13,14
F,15,R,1,1,1,1,no,no,yes,2,8,9
M,15,U,4,3,4,0,yes,yes,yes,6,9,11
F,15,U,3,3,2,0,no,no,no,24,9,8
M,16,U,4,4,3,0,no,yes,yes,0,15,13
M,16,U,2,2,1,0,no,yes,yes,4,12,11
F,15,U,4,4,3,0,no,yes,yes,2,13,13
F,16,U,1,1,1,0,no,no,yes,4,10,11
M,17,U,2,1,1,0,no,yes,yes,22,9,7
F,15,U,1,1,2,0,no,yes,yes,0,12,12
F,15,U,2,1,1,0,no,yes,yes,0,11,10
F,15,U,3,2,2,1,no,yes,yes,2,11,11
F,15,U,1,2,2,0,no,yes,yes,6,13,12
F,15,U,1,2,2,0,no,no,no,6,11,11
M,16,U,4,4,1,0,no,yes,yes,16,9,9
M,15,U,2,1,1,0,no,no,yes,0,12,11
M,18,U,1,1,1,2,no,no,yes,0,11,9
M,16,U,2,1,1,1,no,no,no,6,9,10
F,15,R,3,3,3,0,no,yes,yes,2,13,13
M,19,U,3,2,1,0,no,yes,yes,6,11,9
F,17,U,4,4,1,0,yes,yes,no,0,13,13
M,15,R,2,3,2,0,yes,no,no,0,7,8
M,17,R,1,2,1,3,no,no,no,14,9,8
F,18,R,1,1,1,3,no,yes,no,6,11,10
M,16,R,2,2,1,0,no,no,no,4,12,10
M,16,U,3,3,2,1,no,yes,yes,0,10,10
M,16,U,1,2,1,2,no,no,yes,0,9,8
M,17,R,2,1,1,1,no,no,yes,8,8,8
M,17,R,3,2,2,2,yes,yes,yes,4,7,6
M,15,U,1,2,1,0,no,no,no,2,8,9
M,16,U,1,3,1,1,no,no,yes,2,9,8
M,17,R,1,1,2,0,no,no,no,0,8,8
M,17,U,3,2,1,3,no,yes,no,10,8,7
M,16,U,2,2,2,0,no,no,yes,0,9,10
F,16,U,4,2,2,0,no,no,yes,0,17,17
F,16,U,2,2,2,0,no,yes,yes,0,12,12
F,16,U,4,4,2,0,no,yes,yes,0,16,16
M,16,U,3,4,1,1,no,yes,yes,4,9,9
M,16,U,1,0,2,0,no,yes,yes,0,16,17
M,17,U,4,4,2,0,no,yes,yes,0,11,9
F,16,U,1,3,2,0,no,no,yes,0,14,13
F,16,U,3,3,2,0,no,yes,yes,0,14,14
M,17,U,4,3,2,0,no,no,yes,0,10,11
F,16,U,2,2,2,0,no,no,yes,0,13,12
M,17,U,3,3,2,0,no,no,yes,4,11,9
M,16,R,4,2,1,0,no,yes,yes,8,10,9
M,17,U,4,3,2,0,no,yes,yes,4,11,11
M,16,U,4,3,2,0,no,yes,yes,4,11,10
M,16,U,3,3,2,0,no,no,yes,0,11,12
F,17,U,2,4,2,0,no,yes,no,0,17,18
F,17,U,3,3,2,0,no,yes,yes,32,14,13
F,16,U,3,2,2,0,no,yes,yes,8,14,15
M,17,U,3,3,2,0,no,yes,yes,6,11,13
M,16,U,1,2,1,0,no,yes,yes,0,10,9
M,16,U,2,1,2,0,no,no,yes,0,13,14
F,17,U,3,3,2,0,no,yes,yes,10,12,13
M,17,R,1,2,2,0,no,no,no,6,9,9
F,16,U,2,3,2,0,no,no,yes,6,12,12
F,17,U,1,1,2,0,no,no,yes,0,12,11
M,17,U,1,2,2,0,no,no,yes,16,10,11
M,16,R,3,3,1,0,no,yes,yes,0,11,10
M,16,U,2,3,1,0,no,no,yes,0,13,12
F,17,U,2,4,2,0,no,no,yes,8,14,15
M,17,U,4,4,1,0,no,no,yes,4,13,13
M,16,R,3,3,1,0,no,yes,yes,16,10,11
F,17,U,4,4,1,1,no,yes,yes,30,14,15
F,16,U,4,4,2,0,no,yes,yes,0,11,10
F,16,U,4,3,2,0,no,yes,yes,2,14,14
F,16,U,2,3,2,0,yes,yes,no,4,11,12
F,17,U,1,1,2,0,no,yes,no,0,14,15
F,17,R,2,2,1,0,no,yes,yes,21,13,13
F,16,R,2,2,4,0,no,yes,yes,6,13,13
F,17,U,3,4,3,1,no,yes,yes,14,8,9
F,16,U,3,1,2,0,no,yes,yes,2,11,11
F,16,U,4,3,2,0,no,no,yes,4,14,15
F,16,U,1,1,1,0,no,yes,no,2,12,13
F,17,R,4,3,3,0,no,yes,yes,0,11,12
F,19,U,3,3,4,0,no,yes,yes,4,12,12
M,17,U,4,4,2,0,no,yes,yes,15,13,12
F,16,U,2,2,2,0,yes,yes,yes,0,13,13
M,18,U,2,2,2,0,no,yes,yes,10,12,11
F,17,R,4,4,1,0,no,yes,no,6,12,11
F,17,U,3,2,2,0,no,no,yes,2,14,16
F,17,U,4,3,2,0,no,no,yes,16,11,9
M,18,U,3,3,2,0,no,yes,yes,10,10,10
F,17,U,2,3,1,0,no,yes,no,4,12,13
F,17,U,2,2,3,0,no,yes,yes,0,12,12
F,17,R,2,1,2,0,no,yes,yes,0,11,10
F,17,U,1,1,3,0,no,yes,no,12,12,12
F,16,U,2,3,2,0,yes,no,yes,0,13,13
M,18,U,2,2,2,3,no,yes,yes,9,10,9
F,16,U,4,4,3,0,no,yes,yes,4,15,16
F,18,R,3,1,2,0,no,no,yes,4,8,8
F,17,U,3,2,2,0,no,no,yes,2,17,18
M,17,U,2,3,2,0,no,yes,yes,0,10,11
M,18,U,2,1,2,0,yes,yes,yes,2,9,10
F,17,U,2,1,3,0,no,no,yes,0,15,15
F,17,U,4,3,2,0,no,no,yes,0,14,12
M,17,R,2,2,2,0,no,yes,yes,0,12,13
M,17,U,4,4,2,0,yes,yes,yes,0,13,13
M,16,U,4,4,2,0,no,yes,yes,0,13,13
M,16,U,1,1,2,0,no,yes,yes,2,9,9
M,16,U,3,2,3,0,no,no,yes,0,12,12
M,17,U,2,2,2,0,no,no,yes,0,16,16
F,16,U,2,1,1,0,no,no,yes,4,9,10
F,16,U,4,1,2,0,no,no,yes,0,14,13
F,18,U,2,4,2,1,no,yes,yes,18,10,10
F,18,U,2,2,2,1,no,yes,yes,16,9,8
F,18,U,3,3,1,1,no,no,yes,14,8,7
M,18,U,2,2,1,1,no,yes,yes,26,7,8
M,17,U,4,4,1,0,no,yes,yes,6,10,8
F,17,U,3,2,2,0,no,no,no,4,14,14
F,17,U,1,1,3,0,no,yes,yes,10,11,10
F,16,U,1,2,1,0,no,no,yes,4,12,11
F,17,R,2,1,2,0,no,no,no,2,13,13
F,17,R,1,4,1,1,no,yes,yes,14,9,9
M,18,U,2,2,2,0,no,no,yes,16,8,7
F,17,U,2,2,1,1,no,yes,yes,8,11,9
F,17,R,1,1,3,0,no,no,yes,4,15,14
F,17,U,4,2,2,0,no,yes,no,4,15,14
M,17,U,4,3,2,0,no,no,yes,8,15,15
M,17,R,4,4,2,0,no,yes,yes,0,12,12
M,16,U,4,3,1,0,no,no,yes,7,14,14
M,16,U,4,4,1,0,no,no,yes,4,14,15
F,17,U,4,4,2,0,no,yes,yes,2,11,11
M,17,R,1,1,3,0,no,no,yes,2,13,14
F,17,U,3,3,3,0,no,yes,yes,10,11,11
F,17,U,1,1,2,0,yes,no,no,10,10,9
F,18,U,2,1,3,0,no,yes,yes,10,12,10
M,16,U,2,1,1,0,no,no,yes,7,15,16
F,17,U,1,1,2,0,no,yes,no,4,11,10
M,17,U,2,3,1,0,no,no,yes,2,9,12
M,22,U,3,1,1,3,no,no,yes,12,7,8
M,18,R,3,3,2,0,no,yes,yes,8,10,9
M,16,U,0,2,1,0,no,no,yes,0,11,12
M,18,U,3,2,1,0,no,no,yes,8,7,8
M,16,U,3,3,2,1,yes,yes,yes,4,9,11
M,18,U,2,1,1,2,no,no,yes,4,7,8
M,16,R,2,1,1,0,no,no,no,2,14,13
M,17,R,2,1,1,0,no,no,yes,0,12,12
M,17,U,1,1,1,1,no,yes,yes,0,9,10
F,18,U,2,1,2,0,no,yes,yes,2,12,12
F,17,U,4,2,4,0,no,yes,yes,2,14,15
F,19,U,2,2,2,0,no,yes,yes,0,10,10
M,18,U,2,1,2,1,no,no,yes,4,11,10
F,17,R,4,2,3,0,no,yes,yes,2,11,12
F,18,U,1,1,3,0,no,yes,no,4,11,12
F,18,R,2,2,2,0,yes,no,no,4,11,11
M,19,U,4,3,2,0,no,yes,yes,4,11,13
M,18,U,2,1,2,0,no,no,yes,2,16,16
M,17,R,2,2,1,0,no,no,no,0,9,10
F,17,U,2,2,4,0,no,no,yes,2,10,11
F,20,R,2,1,2,0,no,yes,yes,8,10,12
F,18,U,4,3,2,0,no,yes,yes,2,15,15
M,18,U,4,3,2,0,no,yes,yes,2,10,10
M,18,R,3,2,3,0,no,no,no,2,10,11
F,17,U,3,3,3,0,no,no,no,2,15,12
F,18,U,2,2,3,0,no,yes,yes,0,11,12
M,17,U,2,2,1,0,no,no,yes,8,8,8
M,18,R,3,4,2,0,no,yes,yes,6,15,16
M,17,U,3,1,2,0,no,no,yes,0,11,11
F,18,R,4,4,2,0,no,no,yes,8,10,11
M,18,U,4,2,2,0,no,yes,yes,4,10,12
F,18,R,2,1,2,0,no,yes,yes,12,8,9
F,19,U,3,3,2,0,no,yes,yes,16,11,12
F,18,U,2,3,4,0,no,yes,yes,10,16,16
F,18,U,1,1,2,0,no,yes,no,2,13,13
M,17,R,1,2,2,0,no,yes,no,2,16,17
F,18,U,2,1,2,0,no,yes,yes,8,14,14
F,17,U,2,4,2,0,no,yes,yes,6,15,16
F,17,U,2,2,2,0,yes,yes,yes,6,12,12
F,18,R,3,2,2,0,no,no,yes,15,12,9
M,18,U,4,4,1,0,no,no,yes,6,11,12
F,18,U,4,4,2,1,yes,yes,yes,2,14,12
F,17,U,2,2,3,0,no,yes,yes,8,13,15
F,19,R,3,2,2,1,yes,yes,yes,0,9,8
M,18,U,4,3,1,0,no,no,yes,0,10,10
M,18,U,1,2,1,0,no,no,yes,10,10,10
M,17,U,4,1,1,0,no,no,yes,22,11,11
M,17,U,3,2,1,0,no,no,yes,18,13,13
F,18,R,1,1,4,0,no,yes,no,2,17,17
F,18,U,1,1,2,0,yes,no,yes,0,12,13
F,17,U,2,2,2,0,no,yes,yes,12,12,12
F,18,U,2,1,2,0,no,no,yes,10,12,13
M,17,U,1,1,2,0,no,no,yes,0,12,12
F,18,U,2,2,3,0,no,yes,yes,0,18,18
F,17,U,1,1,3,0,no,yes,yes,0,13,13
M,18,U,2,1,3,0,no,no,yes,0,14,15
M,18,U,4,4,2,0,no,yes,yes,0,17,17
M,18,U,4,2,2,0,no,yes,yes,2,15,16
F,17,U,4,3,3,0,no,yes,yes,0,17,18
F,17,R,3,1,4,0,no,yes,no,0,18,19
M,18,R,3,2,3,0,no,yes,yes,0,14,15
M,17,U,3,3,1,0,no,yes,yes,0,14,15
F,19,U,4,4,2,0,no,yes,yes,2,14,13
F,18,U,4,3,2,0,no,yes,yes,0,13,14
F,18,U,4,3,4,0,no,yes,yes,0,16,17
M,18,U,4,4,1,0,no,yes,yes,0,18,18
F,18,U,4,4,2,0,no,yes,yes,0,14,15
M,17,U,4,4,1,0,no,no,yes,0,12,13
F,17,R,4,4,3,0,no,yes,yes,0,7,7
F,17,U,4,2,3,0,no,yes,yes,0,16,16
F,17,U,3,2,4,0,no,yes,yes,0,18,18
M,19,R,2,1,3,1,no,no,yes,0,9,10
M,20,U,3,2,1,2,no,no,no,0,14,15
M,19,R,3,3,2,0,no,no,no,0,10,10
F,18,U,1,4,2,0,yes,yes,no,2,10,10
F,18,U,2,1,2,0,no,yes,yes,2,12,12
F,17,U,2,3,2,0,no,no,yes,2,11,12
F,17,R,4,4,1,0,no,no,yes,2,15,16
F,18,U,4,3,3,0,no,yes,yes,2,14,15
F,18,U,4,3,1,0,no,yes,yes,8,12,12
F,17,R,3,4,3,0,no,yes,yes,2,15,15
F,18,U,3,3,2,0,no,yes,yes,8,11,12
M,19,U,4,2,2,0,no,yes,yes,9,11,10
F,18,U,4,4,2,0,no,yes,yes,0,12,11
F,18,U,3,4,1,0,no,yes,yes,4,11,12
F,17,U,4,4,1,0,no,no,yes,2,14,15
F,17,U,4,3,2,0,no,yes,yes,14,15,14
F,17,U,3,3,2,0,yes,yes,yes,0,12,12
F,17,U,2,1,2,0,no,no,yes,2,11,12
M,18,U,4,4,1,0,no,yes,yes,2,8,9
F,19,U,1,1,3,0,no,no,no,12,10,10
F,19,U,1,1,2,2,no,yes,yes,2,8,8
F,18,U,2,2,1,0,no,yes,yes,2,10,10
F,17,U,2,2,2,0,no,yes,no,4,14,13
F,17,R,2,2,3,0,no,yes,yes,0,11,11
F,17,U,3,1,3,0,no,yes,yes,0,17,18
F,17,U,0,2,3,0,no,no,yes,0,14,14
F,18,U,1,1,3,0,no,no,yes,0,14,14
M,18,U,4,4,3,0,no,no,yes,0,13,14
M,17,U,3,3,1,0,no,no,yes,0,17,18
M,17,R,2,2,1,0,no,yes,yes,2,11,10
F,17,U,4,4,3,0,no,yes,yes,0,13,12
F,17,U,4,4,3,0,no,yes,yes,4,15,14
F,17,U,3,3,1,0,no,yes,yes,2,11,12
M,18,U,2,2,4,0,no,yes,yes,0,11,11
M,19,R,3,2,1,0,no,yes,no,0,11,10
F,18,U,2,2,2,0,no,no,no,2,10,9
F,17,R,2,4,3,0,no,yes,yes,0,15,15
M,18,U,2,2,1,0,no,no,yes,6,15,14
F,18,U,3,3,2,0,no,no,yes,8,10,11
F,18,U,2,2,2,0,no,no,yes,0,10,9
F,18,R,2,2,4,0,no,no,no,6,14,13
F,17,U,3,4,3,0,no,no,yes,8,11,13
F,17,U,3,2,2,0,no,yes,yes,0,12,13
F,18,U,3,3,4,0,no,yes,yes,4,14,14
F,17,R,3,2,2,0,no,yes,yes,0,14,14
M,18,U,4,4,2,0,no,yes,yes,0,12,12
M,18,U,3,4,2,0,no,no,yes,6,16,16
F,17,U,2,2,2,0,no,yes,yes,18,10,12
F,18,U,2,3,3,0,no,yes,yes,0,11,12
F,18,U,3,2,3,0,no,no,yes,4,14,16
M,18,R,4,3,3,0,no,no,yes,4,15,14
M,18,U,4,3,3,0,no,yes,yes,0,14,13
F,17,U,4,3,3,0,no,yes,yes,0,11,12
F,17,U,2,1,2,0,no,yes,yes,10,12,15
F,17,U,2,1,2,0,no,yes,yes,4,12,16
F,19,U,2,3,1,1,no,no,yes,16,10,11
F,17,U,3,1,1,1,no,yes,yes,6,10,13
F,21,U,4,4,3,2,no,no,yes,0,9,12
M,18,U,2,2,2,0,no,yes,yes,11,9,11
M,18,U,3,4,2,0,no,no,yes,9,13,14
F,17,U,2,2,2,0,no,yes,yes,0,13,17
M,17,U,4,4,3,0,no,yes,yes,2,12,15
F,18,U,4,2,2,0,no,yes,yes,0,14,17
M,21,R,1,1,2,2,no,yes,yes,21,9,10
F,20,R,1,1,3,0,no,no,yes,8,11,15
F,19,U,4,4,1,1,no,yes,yes,5,9,10
M,17,U,3,2,2,0,no,yes,yes,10,16,18
F,18,U,3,2,3,0,no,yes,yes,5,14,17
M,18,R,2,3,1,0,no,no,yes,13,13,14
M,19,U,2,1,1,0,no,no,yes,10,7,11
F,18,U,2,2,2,0,no,yes,yes,10,14,17
F,20,U,1,0,1,1,yes,no,yes,5,8,10
F,18,U,3,2,2,0,no,yes,yes,4,10,13
F,16,U,1,3,1,0,no,yes,yes,11,10,11
F,16,R,2,2,2,0,no,yes,yes,0,12,12
F,15,R,1,1,1,1,no,yes,no,6,10,10
F,15,R,3,3,1,0,no,yes,yes,4,10,10
F,16,R,2,3,2,0,no,no,no,0,16,17
F,15,R,2,1,1,0,no,no,no,0,6,8
M,16,R,4,4,2,0,no,yes,no,5,10,11
M,16,U,1,2,3,0,yes,no,yes,0,10,11
F,17,R,3,2,2,1,no,no,no,0,10,10
F,17,R,1,1,1,1,no,yes,yes,0,6,6
F,15,R,4,4,1,0,no,no,yes,0,13,14
F,16,U,2,2,4,0,no,no,no,4,10,9
F,15,R,1,1,2,0,no,yes,yes,0,10,10
F,15,R,1,1,1,1,no,yes,yes,4,6,7
F,16,R,0,2,1,0,no,yes,no,0,12,11
F,17,R,2,3,1,0,no,yes,yes,2,10,11
F,15,R,3,3,1,0,no,no,yes,0,14,16
M,16,U,1,1,2,0,no,yes,no,0,7,0
M,17,U,1,1,2,0,no,no,yes,4,8,9
M,15,R,4,1,2,0,no,yes,yes,0,12,13
M,15,R,4,1,2,0,no,yes,yes,7,7,9
M,16,R,3,4,2,0,no,no,no,4,9,10
M,15,R,1,1,2,0,no,yes,no,8,7,9
M,15,U,3,3,2,0,no,yes,yes,0,11,11
M,17,R,2,1,1,0,no,no,no,8,8,10
F,16,R,4,4,3,0,no,no,yes,6,16,16
F,15,R,1,2,1,0,no,no,no,3,11,13
F,16,R,2,3,2,0,no,yes,yes,2,15,15
M,16,R,1,2,2,0,no,no,no,0,10,11
F,16,R,2,2,2,0,no,yes,yes,4,9,10
F,16,U,1,2,3,1,no,yes,no,0,10,8
F,16,U,1,2,3,1,no,yes,no,3,9,8
F,15,U,2,1,2,0,yes,yes,yes,0,9,10
F,16,U,1,1,2,0,no,yes,no,0,13,14
M,17,R,1,2,1,0,no,yes,yes,4,10,11
F,16,R,1,1,4,0,no,yes,yes,0,13,10
F,16,R,1,1,3,0,yes,yes,no,2,10,9
F,15,R,1,1,2,0,no,yes,yes,1,11,10
F,16,R,1,1,1,0,no,no,yes,0,13,12
F,15,R,1,1,2,0,no,yes,no,0,13,14
F,15,R,2,2,3,0,yes,yes,no,2,14,11
M,16,R,1,1,1,0,no,no,no,6,11,11
F,18,U,1,2,2,1,no,yes,yes,9,9,8
M,15,U,3,1,1,0,no,yes,no,0,10,9
F,16,R,2,2,2,0,no,yes,yes,1,14,13
M,15,U,2,2,1,0,no,no,no,1,13,12
M,16,U,4,4,2,0,no,yes,no,0,13,12
F,15,R,3,3,2,0,no,yes,yes,4,13,12
F,16,R,2,2,2,1,no,yes,no,2,12,11
F,16,R,2,2,1,0,no,yes,no,0,14,14
M,16,U,2,1,1,0,no,yes,yes,4,10,8
M,15,R,1,3,1,0,no,yes,yes,2,10,11
F,15,U,2,2,3,0,no,yes,no,0,12,13
F,16,R,2,1,1,0,no,yes,yes,2,10,8
M,15,U,3,3,1,0,no,yes,yes,11,12,10
F,16,R,1,1,2,3,yes,yes,no,0,7,7
F,17,U,2,2,1,0,no,yes,no,4,9,9
F,19,U,2,3,1,1,no,no,yes,0,9,9
F,17,R,2,1,1,0,no,yes,no,2,9,10
F,15,R,1,1,1,0,no,yes,no,0,9,10
F,16,R,2,2,2,0,no,yes,yes,1,9,10
F,16,U,2,2,1,0,no,yes,no,6,7,7
F,17,R,2,2,2,0,no,yes,yes,0,11,10
F,16,U,2,2,1,1,no,yes,yes,1,9,10
F,18,R,3,2,3,2,no,yes,no,6,7,9
F,19,U,1,1,3,1,no,no,no,6,7,9
M,18,R,1,1,1,1,no,no,yes,0,8,9
F,18,R,1,1,1,1,no,no,yes,4,9,11
F,19,U,1,1,2,1,no,yes,yes,12,7,8
F,16,R,2,2,2,0,no,no,no,2,8,10
F,17,U,0,1,1,0,no,no,no,5,9,9
F,16,R,1,2,2,0,no,no,yes,0,8,9
F,16,U,3,3,1,0,no,no,yes,0,14,13
F,16,R,1,1,1,0,no,yes,yes,2,14,14
M,17,U,3,3,4,1,no,yes,no,0,10,11
F,16,U,2,1,2,0,no,yes,yes,0,14,13
F,16,U,2,2,1,0,no,yes,no,0,17,16
M,17,U,1,2,1,1,no,yes,yes,12,6,7
M,16,U,4,3,1,0,no,no,yes,8,14,12
M,17,R,2,2,4,1,no,yes,no,2,10,8
F,16,U,1,1,4,0,yes,yes,yes,0,14,14
